Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
AMWL,American Well Corp,Healthcare Providers & Services,$783.159M,3.23,--,9.18%,-21.78%,-47.83%,0.00%
AMWD,American Woodmark Corporation,Homebuilding & Construction Supplies,$866.006M,52.10,62.07x,12.07%,1.80%,117.02%,0.00%
COLD,Americold Realty Trust Inc,Residential & Commercial REITs,$7.632B,28.33,--,0.00%,-0.78%,0.00%,3.11%
AMP,"Ameriprise Financial, Inc.",Investment Banking & Investment Services,$33.312B,313.03,13.05x,1.44%,61.71%,7.14%,1.60%
ABCB,Ameris Bancorp,Banking Services,$3.307B,47.68,9.57x,6.33%,11.50%,-4.63%,1.26%
AMSF,"Amerisafe, Inc.",Insurance,$1.012B,52.82,26.67x,-8.20%,8.99%,6.38%,2.35%
ABC,AmerisourceBergen Corp.,Healthcare Equipment & Supplies,$34.824B,169.32,21.07x,5.58%,"28,805.77%",4.08%,1.15%
AME,"AMETEK, Inc.","Machinery, Equipment & Components",$32.234B,140.36,28.71x,10.15%,16.57%,16.08%,0.63%
AMGN,"Amgen, Inc.",Pharmaceuticals,$142.071B,266.26,21.33x,1.02%,115.16%,3.22%,3.20%
FOLD,"Amicus Therapeutics, Inc.",Biotechnology & Medical Research,$3.363B,11.97,--,7.82%,-103.69%,20.65%,0.00%
AMKR,"Amkor Technology, Inc.",Semiconductors & Semiconductor Equipment ,$6.161B,25.15,7.56x,14.62%,26.31%,19.32%,1.19%
AMN,"AMN Healthcare Services, Inc.",Healthcare Providers & Services,$4.509B,104.04,10.03x,30.14%,44.00%,44.46%,0.00%
AMRX,Amneal Pharmaceuticals Inc,Pharmaceuticals,$334.762M,2.21,--,4.22%,-40.75%,-22.35%,0.00%
AMPH,Amphastar Pharmaceuticals Inc,Pharmaceuticals,$1.397B,28.91,19.43x,12.57%,16.51%,19.71%,0.00%
APH,Amphenol Corporation,Electronic Equipment & Parts,$45.691B,76.78,25.87x,15.15%,29.54%,19.76%,1.09%
AMPY,Amplify Energy Corp,Oil & Gas,$310.235M,8.07,4.95x,0.00%,0.00%,0.00%,0.00%
AMPL,Amplitude Inc,Software & IT Services,$822.978M,11.98,--,41.43%,-30.25%,26.67%,0.00%
AMPX,Amprius Technologies Inc,"Machinery, Equipment & Components",$755.989M,8.95,--,0.00%,0.00%,0.00%,0.00%
AMLX,Amylyx Pharmaceuticals Inc,Pharmaceuticals,$2.355B,35.55,--,0.00%,"-1,844.02%",0.00%,0.00%
AMRS,Amyris Inc,Chemicals,$725.169M,2.23,--,-12.35%,0.00%,-69.32%,0.00%
ALNPY,ANA Holdings Inc - ADR,Passenger Transportation Services,$10.388B,4.29,0.00x,0.00%,0.00%,0.00%,0.00%
ADI,"Analog Devices, Inc.",Semiconductors & Semiconductor Equipment ,$85.261B,167.41,31.76x,1.40%,7.38%,2.30%,1.82%
ANAB,AnaptysBio Inc,Biotechnology & Medical Research,$821.400M,28.89,--,-84.87%,-40.79%,-126.34%,0.00%
AVXL,Anavex Life Sciences Corp,Biotechnology & Medical Research,$671.253M,8.61,--,0.00%,-32.71%,-30.65%,0.00%
ANDE,Andersons Inc,Food & Tobacco,$1.207B,36.03,9.06x,34.69%,12.28%,19.03%,2.05%
FINS,Angel Oak Final Strategies Incm Trm Trst,Collective Investments ,$323.801M,12.92,0.00x,0.00%,0.00%,0.00%,8.82%
ANGO,"AngioDynamics, Inc.",Healthcare Equipment & Supplies,$524.438M,13.41,--,8.31%,-7.67%,0.00%,0.00%
NGLOY,Anglo American plc (ADR),Metals & Mining,$52.487B,19.62,6.88x,0.00%,24.20%,0.00%,6.17%
AU,AngloGold Ashanti Limited (ADR),Metals & Mining,$8.200B,19.59,14.76x,10.90%,13.85%,-3.42%,2.52%
BUD,Anheuser-Busch Inbev SA  (ADR),Beverages,$119.027B,60.42,24.58x,7.67%,0.00%,2.81%,1.87%
ANIP,ANI Pharmaceuticals Inc,Pharmaceuticals,$692.575M,39.68,--,41.56%,-27.50%,-57.94%,0.00%
ANIK,Anika Therapeutics Inc,Pharmaceuticals,$413.901M,28.33,--,4.41%,-5.48%,0.00%,0.00%
NLY,"Annaly Capital Management, Inc.",Residential & Commercial REITs,$10.424B,22.28,2.78x,37.56%,27.19%,-8.19%,15.80%
ANSS,"ANSYS, Inc.",Software & IT Services,$21.072B,241.89,45.28x,4.89%,10.56%,4.34%,0.00%
ATEX,Anterix Inc,Telecommunications Services,$578.280M,30.50,--,388.75%,-25.08%,-28.50%,0.00%
AM^H13,Antero Midstream Corp,Oil & Gas Related Equipment and Services,$5.163B,10.79,16.12x,0.00%,14.21%,0.00%,8.34%
AR,Antero Resources Corp,Oil & Gas,$10.400B,34.65,5.43x,52.95%,37.42%,302.08%,0.00%
HOUS,Anywhere Real Estate Inc,Real Estate Operations,$742.274M,6.78,3.74x,-11.59%,9.82%,-57.43%,0.00%
ANZU,Anzu Special Acquisition Corp I,Holding Companies,$424.150M,9.98,32.06x,0.00%,4.12%,0.00%,0.00%
AON,Aon PLC,Insurance,$62.683B,303.03,23.53x,2.50%,392.01%,9.50%,0.74%
APA,APA Corp (US),Oil & Gas,$15.239B,46.67,4.46x,23.73%,0.00%,116.67%,2.14%
AIRC,Apartment Income REIT Corp,Residential & Commercial REITs,$5.155B,34.38,5.69x,0.00%,53.22%,0.00%,5.24%
AIV,Apartment Investment and Management Co,Residential & Commercial REITs,$1.125B,7.42,4.13x,0.00%,42.91%,0.00%,0.00%
APLS,Apellis Pharmaceuticals Inc,Pharmaceuticals,$5.768B,52.16,--,0.00%,-507.11%,0.00%,0.00%
APG,APi Group Corp,Construction & Engineering,$4.397B,18.80,--,0.00%,-6.79%,0.00%,0.00%
APHD,Apogee 21 Holdings Inc,Professional & Commercial Services  ,$793.875M,0.13,--,0.00%,0.00%,0.00%,0.00%
APOG,Apogee Enterprises Inc,Homebuilding & Construction Supplies,$994.918M,44.80,18.30x,9.24%,13.18%,57.26%,1.96%
ARI,Apollo Commercial Real Est. Finance Inc,Residential & Commercial REITs,$1.606B,11.42,5.94x,4.53%,12.31%,5.26%,12.26%
APEN,Apollo Endosurgery Inc,Healthcare Equipment & Supplies,$415.507M,9.98,--,19.76%,-192.75%,-17.07%,0.00%
APO^A10,Apollo Global Management Inc,Investment Banking & Investment Services,$36.935B,64.54,--,-17.30%,-944.12%,17.32%,2.48%
AMEH,Apollo Medical Holdings Inc,Healthcare Providers & Services,$1.747B,30.79,21.64x,41.59%,13.83%,-36.81%,0.00%
APGB,Apollo Strategic Growth Capital II,Holding Companies,$693.450M,10.05,47.25x,0.00%,3.00%,0.00%,0.00%
APPF,AppFolio Inc,Software & IT Services,$1.591B,107.92,--,29.53%,-17.66%,0.00%,0.00%
APGT,Appgate Inc,Software & IT Services,$896.199M,6.80,--,0.00%,0.00%,0.00%,0.00%
APPN,Appian Corp,Software & IT Services,$1.417B,34.53,--,0.00%,-66.30%,0.00%,0.00%
APLE,Apple Hospitality REIT Inc,Residential & Commercial REITs,$3.550B,15.52,22.82x,32.15%,4.88%,850.00%,6.19%
AAPL,Apple Inc,"Computers, Phones & Household Electronics",$2.155T,135.45,22.20x,2.61%,175.46%,1.47%,0.68%
AERG,"Applied Energetics, Inc.","Machinery, Equipment & Components",$367.838M,1.77,--,0.00%,-282.48%,0.00%,0.00%
AIT,Applied Industrial Technologies Inc,"Machinery, Equipment & Components",$4.896B,126.93,17.65x,7.27%,25.60%,9.88%,1.07%
AMAT,"Applied Materials, Inc.",Semiconductors & Semiconductor Equipment ,$89.394B,105.90,14.24x,-5.96%,53.39%,-12.73%,0.98%
APP,Applovin Corp,Software & IT Services,$2.989B,10.20,--,0.00%,-4.33%,0.00%,0.00%
ATR,"AptarGroup, Inc.",Containers & Packaging,$7.223B,110.64,31.16x,2.57%,12.41%,-6.19%,1.37%
APTV,Aptiv PLC,Automobiles & Auto Parts,$25.507B,94.14,81.56x,10.56%,3.80%,28.74%,0.00%
ARMK,Aramark,Hotels & Entertainment Services,$10.787B,41.69,55.50x,11.30%,6.76%,58.33%,1.06%
ABR,Arbor Realty Trust Inc,Residential & Commercial REITs,$1.522B,13.68,8.31x,45.49%,15.79%,-33.33%,11.70%
ABUS,Arbutus Biopharma Corp,Pharmaceuticals,$375.521M,2.40,--,254.61%,-121.06%,45.78%,0.00%
,ARCA CONTL SAB DE CV SHS,Beverages,$13.867B,7.95,19.66x,13.65%,12.18%,24.14%,4.73%
ARCAY,ARCADIS NV (ADR),Construction & Engineering,$3.559B,39.35,18.88x,0.00%,17.77%,0.00%,1.88%
ARCB,ArcBest Corp,Freight & Logistics Services,$1.759B,72.04,5.69x,34.51%,31.27%,60.92%,0.67%
ACLX,Arcellx Inc,Biotechnology & Medical Research,$1.363B,31.07,--,0.00%,-257.16%,0.00%,0.00%
MT,ArcelorMittal SA (ADR),Metals & Mining,$27.009B,26.43,1.92x,1.29%,26.52%,-24.46%,1.44%
ACGL,Arch Capital Group Ltd.,Insurance,$23.435B,63.36,20.29x,17.19%,10.20%,12.29%,0.00%
ARCH,Arch Resources Inc,Coal,$2.614B,144.53,2.76x,68.45%,135.82%,167.96%,0.69%
LFG,Archaea Energy Inc,Electrical Utilities & IPPs,$2.112B,25.89,--,0.00%,0.00%,0.00%,0.00%
ACHR,Archer Aviation Inc,Aerospace & Defense,$342.934M,1.93,--,0.00%,-41.47%,0.00%,0.00%
ADM,Archer-Daniels-Midland Co,Food & Tobacco,$51.786B,94.27,13.01x,18.80%,17.85%,45.28%,1.70%
AROC,Archrock Inc,Oil & Gas Related Equipment and Services,$1.334B,8.57,34.14x,7.49%,4.34%,61.11%,6.77%
ARCE,Arco Platform Ltd,Professional & Business Education,$398.770M,13.21,845.79x,0.00%,0.58%,0.00%,0.00%
ARNC,Arconic Corp (PITTSBURGH),Metals & Mining,$2.216B,21.84,45.81x,21.28%,3.34%,0.00%,0.00%
ARCO,Arcos Dorados Holdings Inc,Hotels & Entertainment Services,$1.024B,8.05,12.96x,32.27%,61.46%,137.50%,0.50%
ANAC,Arctos Northstar Acquisition Corp,Holding Companies,$318.780M,10.08,31.64x,0.00%,4.23%,0.00%,0.00%
ARCT,Arcturus Therapeutics Holdings Inc,Biotechnology & Medical Research,$497.274M,18.77,--,"1,030.73%",-72.46%,67.18%,0.00%
RCUS,Arcus Biosciences Inc,Biotechnology & Medical Research,$1.604B,22.15,61.34x,0.00%,12.86%,0.00%,0.00%
ARQT,Arcutis Biotherapeutics Inc,Biotechnology & Medical Research,$850.555M,13.96,--,0.00%,-98.07%,0.00%,0.00%
AMBP,Ardagh Metal Packaging SA,Containers & Packaging,$2.908B,4.82,12.35x,0.00%,84.08%,0.00%,8.30%
ARDX,Ardelyx Inc,Biotechnology & Medical Research,$391.791M,2.09,--,234.61%,-153.93%,65.79%,0.00%
ASC,Ardmore Shipping Corp,Oil & Gas Related Equipment and Services,$493.159M,14.86,8.01x,204.59%,20.54%,0.00%,0.00%
AAC,Ares Acquisition Corp,Holding Companies,$1.009B,10.09,46.89x,0.00%,2.83%,0.00%,0.00%
ARCC,Ares Capital Corporation,Collective Investments ,$9.469B,18.63,11.19x,-24.32%,8.99%,-4.95%,10.31%
ACRE,Ares Commercial Real Estate Corp,Residential & Commercial REITs,$597.784M,10.98,12.06x,21.84%,6.12%,-38.06%,12.02%
ARES,Ares Management Corp,Investment Banking & Investment Services,$11.930B,68.79,81.32x,-36.50%,9.58%,24.90%,3.55%
AGX,"Argan, Inc.",Construction & Engineering,$494.031M,36.39,24.29x,-9.95%,6.99%,-14.17%,2.75%
ARGX,argenx SE - ADR,Biotechnology & Medical Research,$21.173B,382.72,--,0.00%,0.00%,0.00%,0.00%
ARGO,"Argo Group International Holdings, Ltd.",Insurance,$921.947M,26.30,--,-13.13%,-13.12%,-9.24%,4.71%
ARHS,Arhaus Inc,Household Goods,$518.361M,9.79,17.45x,48.84%,113.76%,20.00%,0.00%
ARIS,Aris Water Solutions Inc,Oil & Gas Related Equipment and Services,$404.869M,15.27,141.19x,0.00%,1.39%,0.00%,2.36%
ANET,Arista Networks Inc,Communications & Networking,$37.686B,123.33,33.60x,46.03%,28.23%,52.61%,0.00%
ARKAY,Arkema SA - ADR,Chemicals,$6.868B,91.53,0.00x,0.00%,0.00%,0.00%,3.46%
ARKO,Arko Corp.,Oil & Gas,$1.067B,8.89,17.43x,0.00%,25.88%,0.00%,1.35%
ARLO,Arlo Technologies Inc,"Computers, Phones & Household Electronics",$311.421M,3.52,--,0.00%,-39.38%,0.00%,0.00%
AHH,Armada Hoffler Properties Inc,Residential & Commercial REITs,$784.991M,11.59,14.34x,13.45%,12.90%,128.21%,6.56%
ARR,"ARMOUR Residential REIT, Inc.",Residential & Commercial REITs,$762.448M,5.77,--,84.69%,-28.94%,23.96%,20.80%
AWI,Armstrong World Industries Inc,Homebuilding & Construction Supplies,$3.151B,69.00,16.86x,11.09%,36.75%,10.32%,1.47%
ARQQ,Arqit Quantum Inc,Software & IT Services,$482.120M,4.38,--,0.00%,0.00%,0.00%,0.00%
ARRY,Array Technologies Inc,Renewable Energy,$3.240B,21.53,--,0.00%,-172.69%,0.00%,0.00%
ARW,"Arrow Electronics, Inc.",Semiconductors & Semiconductor Equipment ,$6.475B,105.27,4.93x,7.69%,27.79%,44.19%,0.00%
AROW,Arrow Financial Corporation,Banking Services,$570.746M,34.53,12.16x,5.25%,13.33%,0.33%,3.13%
ARWR,Arrowhead Pharmaceuticals Inc,Biotechnology & Medical Research,$3.933B,37.10,--,24.71%,-43.62%,-4.79%,0.00%
ARTNA,Artesian Resources Corporation,Water Utilities,$477.252M,55.43,28.02x,5.66%,10.34%,7.82%,2.01%
AJG,Arthur J. Gallagher & Co.,Insurance,$39.950B,189.48,37.26x,3.13%,12.81%,41.61%,1.08%
APAM,Artisan Partners Asset Management Inc,Investment Banking & Investment Services,$2.123B,31.26,9.15x,-19.65%,86.68%,-38.97%,7.17%
AORT,Artivion Inc,Healthcare Equipment & Supplies,$507.339M,12.58,--,5.19%,-14.55%,-73.68%,0.00%
ARVN,Arvinas Inc,Biotechnology & Medical Research,$1.796B,33.75,--,0.00%,-35.10%,0.00%,0.00%
ASAN,Asana Inc,Software & IT Services,$1.699B,13.35,--,43.22%,-125.40%,-26.09%,0.00%
ABG,"Asbury Automotive Group, Inc.",Other Specialty Retailers,$3.656B,165.18,4.71x,58.85%,39.79%,35.73%,0.00%
ACDI,Ascendant Digital Acquisition Corp III,Holding Companies,$308.700M,10.29,25.13x,0.00%,10.34%,0.00%,0.00%
ASND,Ascendis Pharma A/S,Biotechnology & Medical Research,$6.884B,120.71,--,513.56%,-66.68%,-34.86%,0.00%
ASX^D18,ASE Technology Holding Co Ltd (ADR),Semiconductors & Semiconductor Equipment ,$14.206B,6.51,5.63x,0.00%,29.52%,0.00%,7.18%
ASGN,ASGN Inc,Software & IT Services,$4.116B,82.48,15.45x,13.92%,14.86%,19.93%,0.00%
ASH,Ashland Inc,Chemicals,$5.875B,108.49,33.10x,5.71%,6.06%,9.65%,1.24%
ASMIY,ASM International NV (ADR),Semiconductors & Semiconductor Equipment ,$16.737B,265.80,--,0.00%,12.52%,0.00%,0.91%
ASML,ASML Holding NV (ADR),Semiconductors & Semiconductor Equipment ,$234.206B,580.96,39.30x,0.61%,57.37%,-15.52%,1.14%
ASPN,Aspen Aerogels Inc,Homebuilding & Construction Supplies,$461.454M,11.28,--,46.72%,-55.09%,-70.15%,0.00%
AZPN,Aspen Technology Inc,Software & IT Services,$13.186B,204.30,712.02x,59.80%,0.04%,18.86%,0.00%
AMK,AssetMark Financial Holdings Inc,Investment Banking & Investment Services,$1.735B,23.50,19.25x,0.00%,8.62%,0.00%,0.00%
ASB,Associated Banc Corp,Banking Services,$3.403B,22.63,10.60x,17.20%,8.48%,5.96%,3.71%
AIZ,"Assurant, Inc.",Insurance,$6.526B,123.53,20.71x,0.47%,6.81%,13.89%,2.27%
AGO,Assured Guaranty Ltd.,Insurance,$3.772B,62.88,15.08x,-20.15%,5.22%,-25.32%,1.59%
ASTE,"Astec Industries, Inc.","Machinery, Equipment & Components",$942.321M,41.49,--,12.44%,-1.29%,-11.56%,1.25%
AZN,AstraZeneca plc (ADR),Pharmaceuticals,$33.433B,67.90,103.97x,19.20%,5.45%,24.53%,2.80%
T,AT&T Inc.,Telecommunications Services,$129.364B,18.15,6.68x,-24.17%,13.96%,-21.47%,6.12%
ATAI,ATAI Life Sciences NV,Biotechnology & Medical Research,$524.165M,3.16,--,0.00%,-52.86%,0.00%,0.00%
ATRA,Atara Biotherapeutics Inc,Biotechnology & Medical Research,$314.049M,3.31,--,367.55%,-99.38%,40.77%,0.00%
AVIR,Atea Pharmaceuticals Inc,Biotechnology & Medical Research,$381.459M,4.58,12.80x,0.00%,5.73%,0.00%,0.00%
ATI,ATI Inc,Aerospace & Defense,$4.008B,30.97,327.10x,37.41%,3.57%,"1,430.77%",0.00%
ATKR,Atkore Inc,"Machinery, Equipment & Components",$4.622B,116.37,5.63x,-5.58%,85.03%,-32.76%,0.00%
ACAH,Atlantic Coastal Acquisition Corp,Holding Companies,$343.620M,9.96,94.02x,0.00%,1.40%,0.00%,0.00%
ACAB,Atlantic Coastal Acquisition Corp II,Holding Companies,$304.200M,10.14,--,0.00%,0.00%,0.00%,0.00%
AUB,Atlantic Union Bankshares Corp,Banking Services,$2.590B,34.67,13.03x,3.94%,8.04%,-11.66%,3.46%
AY,Atlantica Sustainable Infrastructure PLC,Electrical Utilities & IPPs,$2.834B,26.57,--,-4.99%,-1.36%,46.15%,6.70%
ATLC,Atlanticus Holdings Corp,Banking Services,$364.881M,25.26,3.63x,42.82%,47.89%,-25.90%,0.00%
AAWW,"Atlas Air Worldwide Holdings, Inc.",Freight & Logistics Services,$2.856B,100.68,8.13x,14.32%,14.63%,-22.80%,0.00%
ATCO,Atlas Corp,Freight & Logistics Services,$3.761B,15.27,7.43x,3.01%,15.45%,-4.76%,3.27%
TEAM,Atlassian Corp,Software & IT Services,$17.899B,139.62,--,24.28%,-194.80%,-17.75%,0.00%
ATO,Atmos Energy Corporation,Natural Gas Utilities,$16.144B,114.58,20.60x,8.42%,8.93%,6.96%,2.58%
ATNI,ATN International Inc,Telecommunications Services,$751.265M,47.66,--,19.17%,-4.69%,86.18%,1.76%
ATAT,Atour Lifestyle Holdings Ltd - ADR,Hotels & Entertainment Services,$5.944B,18.72,--,0.00%,0.00%,0.00%,0.00%
ATRC,AtriCure Inc.,Healthcare Equipment & Supplies,$2.043B,43.92,--,20.31%,-11.94%,0.00%,0.00%
ATRI,Atrion Corporation,Healthcare Equipment & Supplies,$999.617M,563.80,29.13x,0.00%,14.34%,0.00%,1.53%
AUDC,AudioCodes Ltd,Communications & Networking,$572.202M,17.33,20.45x,11.20%,14.74%,-9.33%,2.08%
AUOTY,AUO Corp (ADR),Electronic Equipment & Parts,$3.657B,4.75,--,34.27%,-0.11%,"1,623.08%",8.76%
AURA,Aura Biosciences Inc,Biotechnology & Medical Research,$327.672M,11.17,--,0.00%,0.00%,0.00%,0.00%
AUPH,Aurinia Pharmaceuticals Inc,Biotechnology & Medical Research,$653.706M,4.60,--,190.79%,-32.00%,39.29%,0.00%
AUR,Aurora Innovation Inc,Software & IT Services,$910.751M,1.23,--,0.00%,-144.71%,0.00%,0.00%
ANZBY,Australia and Nw Zlnd Bankng Grp Ld(ADR),Banking Services,$48.084B,16.01,10.15x,0.00%,11.02%,0.00%,6.17%
FLES,Auto Parts 4Less Group Inc,Software & IT Services,$2.279B,1.72,--,0.00%,0.00%,0.00%,0.00%
ADSK,Autodesk Inc,Software & IT Services,$41.477B,192.23,67.80x,13.99%,56.64%,29.98%,0.00%
ATHM,Autohome Inc (ADR),Media & Publishing,$16.525B,32.44,19.13x,-4.04%,6.42%,-19.43%,1.63%
ALV,Autoliv Inc,Automobiles & Auto Parts,$6.648B,76.56,17.54x,8.69%,15.17%,-11.95%,3.45%
AUTL,Autolus Therapeutics PLC,Biotechnology & Medical Research,$320.635M,1.93,--,0.00%,-80.59%,0.00%,0.00%
ADP,Automatic Data Processing Inc,Software & IT Services,$102.479B,247.04,34.22x,8.51%,76.38%,15.69%,2.02%
AN,AutoNation Inc,Other Specialty Retailers,$5.165B,104.19,4.26x,3.88%,64.12%,33.68%,0.00%
AZO,Autozone Inc,Other Specialty Retailers,$45.610B,"2,430.48",20.29x,6.18%,0.00%,8.22%,0.00%
AVB,AvalonBay Communities Inc,Residential & Commercial REITs,$22.715B,162.37,18.50x,13.15%,11.17%,6.26%,3.92%
AGR,Avangrid Inc,Electrical Utilities & IPPs,$16.625B,43.00,18.55x,4.59%,4.67%,6.88%,4.09%
AVNS,Avanos Medical Inc,Healthcare Equipment & Supplies,$1.242B,26.72,29.32x,10.05%,3.45%,33.04%,0.00%
AVTR,Avantor Inc,Healthcare Equipment & Supplies,$13.943B,20.68,23.21x,0.00%,15.56%,0.00%,0.00%
AVEO,Aveo Pharmaceuticals Inc,Pharmaceuticals,$518.664M,14.92,--,164.92%,-72.53%,58.28%,0.00%
AVO,Aveon Group LP,Food & Tobacco,$1.068B,15.12,44.24x,0.00%,4.64%,0.00%,0.00%
AVPT,AvePoint Inc,Software & IT Services,$821.352M,4.40,--,0.00%,-15.39%,0.00%,0.00%
AVY,Avery Dennison Corp,Containers & Packaging,$14.650B,180.93,18.29x,9.97%,42.92%,8.98%,1.66%
AVNW,Aviat Networks Inc,Communications & Networking,$360.542M,31.85,27.74x,13.35%,7.09%,15.94%,0.00%
CDMO,Avid Bioservices Inc,Pharmaceuticals,$857.372M,13.76,10.46x,22.56%,101.81%,0.00%,0.00%
AVID,Avid Technology Inc,Software & IT Services,$1.124B,25.73,25.80x,1.59%,0.00%,15.20%,0.00%
RNA,Avidity Biosciences Inc,Pharmaceuticals,$1.108B,20.34,--,0.00%,-41.99%,0.00%,0.00%
AVDX,AvidXchange Holdings Inc,Software & IT Services,$1.840B,9.26,--,26.85%,-309.64%,61.33%,0.00%
AVNT,Avient Corp,Chemicals,$3.121B,34.32,24.29x,-21.25%,7.43%,-10.16%,2.88%
CAR,Avis Budget Group Inc,Passenger Transportation Services,$6.938B,167.32,3.12x,28.08%,0.00%,138.51%,0.00%
AVA,Avista Corp,Multiline Utilities,$3.142B,42.59,23.82x,7.25%,5.91%,-10.00%,4.13%
AVT,Avnet Inc,Electronic Equipment & Parts,$3.880B,42.40,5.45x,4.19%,18.75%,2.02%,2.74%
AXAHY,Axa SA (ADR),Insurance,$52.146B,28.22,8.65x,0.00%,11.92%,0.00%,5.75%
AXTA,Axalta Coating Systems Ltd,Chemicals,$5.701B,25.84,28.77x,10.40%,14.83%,-12.57%,0.00%
ACLS,Axcelis Technologies Inc,Semiconductors & Semiconductor Equipment ,$2.715B,82.65,17.23x,33.45%,28.73%,66.67%,0.00%
AXS,AXIS Capital Holdings Ltd,Insurance,$4.646B,54.87,13.42x,5.54%,8.14%,7.23%,3.21%
AXGN,AxoGen Inc,Healthcare Equipment & Supplies,$436.825M,10.33,--,9.18%,-26.59%,-15.15%,0.00%
AXON,Axon Enterprise Inc,Aerospace & Defense,$12.434B,174.72,121.68x,34.29%,8.91%,-14.89%,0.00%
AXNX,Axonics Inc,Healthcare Equipment & Supplies,$3.155B,63.69,--,0.00%,-14.53%,0.00%,0.00%
AX,Axos Financial Inc,Banking Services,$2.278B,37.97,9.58x,20.10%,15.12%,16.12%,0.00%
AXSM,Axsome Therapeutics Inc,Biotechnology & Medical Research,$3.228B,74.34,--,0.00%,-159.81%,-23.92%,0.00%
AZEK,Azek Company Inc,Homebuilding & Construction Supplies,$3.185B,21.09,43.67x,0.00%,5.24%,0.00%,0.00%
AZTA,Azenta Inc,Biotechnology & Medical Research,$4.452B,59.35,--,28.82%,-0.48%,-19.61%,0.00%
AZUL,Azul SA (ADR),Passenger Transportation Services,$691.369M,6.18,--,0.00%,0.00%,0.00%,0.00%
AZZ,AZZ Inc,"Machinery, Equipment & Components",$980.309M,39.43,11.94x,64.40%,10.97%,32.24%,1.72%
RILY,B Riley Financial Inc,Investment Banking & Investment Services,$1.014B,35.48,--,0.00%,-7.57%,0.00%,11.27%
BGS,B&G Foods Inc,Food & Tobacco,$842.816M,11.76,--,3.52%,-4.79%,-50.00%,6.46%
BW,Babcock & Wilcox Enterprises Inc,"Machinery, Equipment & Components",$452.920M,5.11,--,20.21%,0.00%,0.00%,0.00%
BMI,Badger Meter Inc,"Machinery, Equipment & Components",$3.304B,112.88,50.05x,11.36%,16.26%,10.10%,0.80%
BAESY,BAE Systems PLC - ADR,Aerospace & Defense,$32.501B,42.21,0.00x,0.00%,0.00%,0.00%,2.99%
BIDU,Baidu Inc (ADR),Software & IT Services,$30.958B,113.29,70.80x,0.22%,1.85%,12.41%,0.00%
BCSF,Bain Capital Specialty Finance Inc,Investment Banking & Investment Services,$807.025M,12.50,9.58x,0.00%,7.67%,0.00%,11.52%
BKR,Baker Hughes Co,Oil & Gas Related Equipment and Services,$29.393B,29.35,--,3.95%,-3.16%,47.62%,2.59%
BKUH,Bakhu Holdings Corp,Healthcare Providers & Services,$301.303M,1.00,--,0.00%,0.00%,0.00%,0.00%
BCPC,Balchem Corp,Food & Tobacco,$3.935B,122.46,36.50x,19.06%,12.20%,-5.04%,0.58%
BALL,Ball Corp,Containers & Packaging,$16.242B,51.74,17.68x,12.04%,26.42%,-16.05%,1.55%
BLDP,Ballard Power Systems Inc,Renewable Energy,$809.279M,5.16,--,0.00%,-14.34%,0.00%,0.00%
BALY,Bally's Corp,Hotels & Entertainment Services,$929.624M,19.67,--,0.00%,-4.43%,0.00%,0.00%
BSMX,Ban Sa Me SA In de Ba Mu Gr Fi Sa(ADR),Banking Services,$4.014B,6.04,10.03x,14.36%,13.06%,43.94%,11.91%
BANC,Banc of California Inc,Banking Services,$926.265M,15.52,9.76x,25.09%,11.55%,107.37%,1.55%
BANF,BancFirst Corp,Banking Services,$2.928B,89.07,17.07x,14.74%,14.87%,15.11%,1.80%
BBVA,Banco Bilbao Vizcaya Argentaria SA (ADR),Banking Services,$36.362B,6.03,5.78x,0.00%,12.25%,0.00%,7.60%
BBD,Banco Bradesco SA (ADR),Banking Services,$14.800B,2.84,3.36x,4.99%,0.00%,-8.70%,7.38%
BCH,Banco de Chile (ADR),Banking Services,$5.782B,20.02,6.54x,6.80%,30.86%,44.44%,6.84%
BMA,Banco Macro SA (ADR),Banking Services,$951.678M,15.15,4.88x,7.17%,10.96%,-26.68%,6.23%
BSBR,Banco Santander Brasil SA (ADR),Banking Services,$20.208B,5.30,13.64x,-0.69%,13.99%,80.00%,10.84%
SAN,Banco Santander SA (ADR),Banking Services,$50.383B,3.00,4.97x,0.00%,10.87%,0.00%,3.72%
BSAC,Banco Santander-Chile (ADR),Banking Services,$7.444B,15.80,6.91x,6.83%,26.28%,8.29%,7.23%
CIB,Bancolombia SA (ADR),Banking Services,$3.111B,27.52,4.79x,21.17%,19.72%,48.95%,9.72%
TBBK,Bancorp Inc,Banking Services,$1.619B,28.92,14.27x,16.12%,17.98%,20.21%,0.00%
BAND,Bandwidth Inc,Telecommunications Services,$580.004M,24.83,--,14.73%,-7.06%,-61.86%,0.00%
BFC,Bank First Corp,Banking Services,$841.051M,93.15,16.59x,10.21%,11.45%,-1.52%,1.07%
BKHYY,Bank Hapoalim BM (ADR),Banking Services,$11.826B,44.23,0.00x,0.00%,0.00%,0.00%,2.31%
BAC,Bank of America Corp,Banking Services,$262.173B,32.68,10.34x,6.21%,10.58%,-11.20%,2.69%
BKEAY,Bank of East Asia Ltd (ADR),Banking Services,$3.007B,1.12,7.67x,0.00%,2.98%,0.00%,5.81%
